id,fname,sname,fee_earner,type,matter_id,last_contact,first_contact,rnd
W1,fred,flintstone,ABC,A1,AB1234,01/10/2018,04/04/2018,180
W2,wilma,flintstone,CDE,B1,AB1235,02/10/2018,15/03/2018,201
W3,barney,rubble,EFG,B2,AB1236,03/10/2018,15/05/2018,141
W4,betty,rubble,HIJ,A1,AB1237,04/10/2018,31/10/2017,338
W5,nicholas,fury,ABC,C1,AB1238,05/10/2018,27/02/2018,220
W6,bruce,banner,CDE,C1,AB1239,06/10/2018,05/08/2018,62
W7,robert,downey,ABC,B1,AB1240,07/10/2018,31/05/2017,494
W8,thomas,hiddleston,ABC,B2,AB1241,08/10/2018,15/10/2017,358
W9,natasha,romanov,CDE,B2,AB1242,09/10/2018,01/01/2018,281
W10,wanda,maximoff,EFG,A1,AB1243,10/10/2018,06/09/2018,34
W11,maria,hill,EFG,D2,AB1244,11/10/2018,13/03/2018,212
W12,philip,coulson,HIJ,C1,AB1245,12/10/2018,11/01/2018,274
W13,fred,flintstone,HIJ,A1,AB1246,02/03/2017,28/05/2016,278
W14,wilma,flintstone,HIJ,C1,AB1247,04/07/2018,21/11/2017,225
W15,barney,rubble,EFG,B2,AB1248,03/08/2018,22/05/2018,73
W16,betty,rubble,EFG,A1,AB1249,01/10/2018,17/05/2017,502
W17,nicholas,fury,EFG,D2,AB1250,02/10/2018,08/05/2018,147
W18,bruce,banner,CDE,B1,AB1251,03/10/2018,08/08/2018,56
W19,robert,downey,CDE,C1,AB1252,04/10/2018,23/10/2017,346
W20,loki,laufeyson,CDE,B2,AB1253,05/10/2018,10/03/2018,209
W21,natasha,romanov,ABC,A1,AB1254,06/10/2018,18/03/2017,567
W22,wanda,maximoff,ABC,C1,AB1255,07/10/2018,26/06/2017,468
W23,maria,hill,ABC,B1,AB1256,08/10/2018,01/07/2017,464
W24,philip,coulson,ABC,B2,AB1257,09/10/2018,11/05/2017,516
W25,fred,flintstone,HIJ,A1,AB1258,10/10/2018,29/12/2017,285
W26,wilma,flintstone,HIJ,C1,AB1259,11/10/2018,03/07/2017,465
W27,barney,rubble,EFG,B2,AB1260,12/10/2018,19/04/2018,176
W28,betty,rubble,EFG,A1,AB1261,02/03/2017,16/08/2016,198
W29,nicholas,fury,EFG,D2,AB1262,04/07/2018,17/03/2018,109
W30,bruce,banner,CDE,B1,AB1263,03/08/2018,10/01/2018,205
W31,robert,downey,CDE,C1,AB1264,01/10/2018,07/03/2018,208
W32,loki,laufeyson,CDE,B2,AB1265,02/10/2018,11/06/2017,478
W33,natasha,romanov,ABC,A1,AB1266,03/10/2018,30/08/2017,399
W34,wanda,maximoff,ABC,C1,AB1267,04/10/2018,27/08/2017,403
W35,maria,hill,ABC,B1,AB1268,05/10/2018,26/02/2018,221
W36,philip,coulson,ABC,B2,AB1269,06/10/2018,20/01/2018,259
W37,fred,flintstone,HIJ,A1,AB1270,07/10/2018,19/10/2017,353
W38,wilma,flintstone,HIJ,C1,AB1271,08/10/2018,27/09/2018,11
W39,barney,rubble,HIJ,A1,AB1272,09/10/2018,29/04/2018,163
W40,betty,rubble,HIJ,C1,AB1273,10/10/2018,09/12/2017,305
W41,nicholas,fury,HIJ,A1,AB1274,11/10/2018,31/07/2017,437
W42,bruce,banner,HIJ,C1,AB1275,12/10/2018,15/04/2017,545
W43,anthony,stark,EFG,B2,AB1276,02/03/2017,05/09/2016,178
W44,thomas,hiddleston,EFG,A1,AB1277,04/07/2018,30/11/2017,216
W45,natasha,romanov,EFG,D2,AB1278,03/08/2018,04/10/2017,303
W46,wanda,maximoff,EFG,B2,AB1279,01/10/2018,21/07/2018,72
W47,maria,hill,EFG,A1,AB1280,02/10/2018,17/10/2017,350
W48,philip,coulson,EFG,D2,AB1281,03/10/2018,18/04/2018,168
W49,fred,flintstone,EFG,B2,AB1282,04/10/2018,03/02/2018,243
W50,wilma,flintstone,EFG,A1,AB1283,05/10/2018,24/01/2018,254
W51,barney,rubble,EFG,D2,AB1284,06/10/2018,18/09/2017,383
W52,betty,rubble,CDE,B1,AB1285,07/10/2018,07/09/2018,30
W53,nicholas,fury,CDE,C1,AB1286,08/10/2018,17/12/2017,295
W54,bruce,banner,CDE,B2,AB1287,09/10/2018,26/09/2018,13
W55,robert,downey,CDE,B1,AB1288,10/10/2018,27/12/2017,287
W56,loki,laufeyson,CDE,C1,AB1289,11/10/2018,04/03/2017,586
W57,natasha,romanov,CDE,B2,AB1290,12/10/2018,15/03/2018,211
W58,wanda,maximoff,CDE,B1,AB1291,02/03/2017,02/11/2015,486
W59,maria,hill,CDE,C1,AB1292,04/07/2018,26/05/2018,39
W60,philip,coulson,CDE,B2,AB1293,03/08/2018,04/07/2018,30
W61,fred,flintstone,ABC,A1,AB1294,01/10/2018,26/01/2018,248
W62,wilma,flintstone,ABC,C1,AB1295,02/10/2018,21/05/2018,134
W63,barney,rubble,ABC,B1,AB1296,03/10/2018,06/03/2017,576
W64,betty,rubble,ABC,B2,AB1297,04/10/2018,06/05/2018,151
W65,nicholas,fury,ABC,A1,AB1298,05/10/2018,01/05/2017,522
W66,bruce,banner,ABC,C1,AB1299,06/10/2018,14/06/2018,114
W67,robert,downey,ABC,B1,AB1300,07/10/2018,15/10/2017,357
W69,natasha,romanov,ABC,A1,AB1302,09/10/2018,18/01/2018,264
W70,wanda,maximoff,ABC,C1,AB1303,10/10/2018,25/08/2018,46
W71,maria,hill,ABC,B1,AB1304,11/10/2018,16/12/2017,299
W72,philip,coulson,ABC,B2,AB1305,12/10/2018,19/09/2018,23
W73,fred,flintstone,ABC,A1,AB1306,02/03/2017,20/04/2016,316
W74,wilma,flintstone,ABC,C1,AB1307,04/07/2018,25/09/2017,282
W75,barney,rubble,ABC,B1,AB1308,03/08/2018,20/12/2017,226
W76,betty,rubble,ABC,B2,AB1309,01/10/2018,26/06/2018,97
W77,nicholas,fury,ABC,A1,AB1310,02/10/2018,19/11/2017,317
W78,bruce,banner,ABC,C1,AB1311,03/10/2018,15/03/2018,202
W79,robert,downey,ABC,B1,AB1312,04/10/2018,15/10/2017,354
W81,natasha,romanov,ABC,A1,AB1314,06/10/2018,17/11/2017,323
W82,wanda,maximoff,ABC,C1,AB1315,07/10/2018,24/01/2018,256
W83,maria,hill,ABC,B1,AB1316,08/10/2018,01/11/2017,341
W84,philip,coulson,ABC,B2,AB1317,09/10/2018,06/07/2017,460
W85,fred,flintstone,ABC,A1,AB1318,10/10/2018,14/10/2017,361
W86,wilma,flintstone,ABC,C1,AB1319,11/10/2018,21/09/2018,20
W87,barney,rubble,ABC,B1,AB1320,12/10/2018,24/04/2018,171
W88,betty,rubble,ABC,B2,AB1321,02/03/2017,06/11/2016,116
W89,nicholas,fury,ABC,A1,AB1322,04/07/2018,25/12/2016,556
W90,bruce,banner,ABC,C1,AB1323,03/08/2018,09/01/2017,571
