set,name,gender,age,town,result,result_num,gender_num,town_num
training,dave,m,21,a,no,0,1,1
training,donna,f,42,b,yes,1,2,2
training,em,nb,32,c,no,0,3,3
training,bob,m,51,a,yes,1,1,1
training,kirsty,f,27,b,yes,1,2,2
training,jason,m,36,c,yes,1,1,3
training,jo,nb,25,a,no,0,3,1
training,mark,m,49,b,yes,1,1,2
training,gemma,f,31,c,yes,1,2,3
training,james,m,19,a,no,0,1,1
test,dave,m,46,a,no,0,1,1
test,donna,f,46,b,yes,1,2,2
test,em,nb,45,c,no,0,3,3
test,bob,m,26,a,yes,1,1,1
test,kirsty,f,38,b,yes,1,2,2
test,jason,m,49,c,yes,1,1,3
test,jo,nb,29,a,no,0,3,1
test,mark,m,22,b,yes,1,1,2
test,gemma,f,49,c,yes,1,2,3
test,james,m,54,a,no,0,1,1
test,dave,m,31,a,no,0,1,2
test,donna,f,20,b,yes,1,2,3
test,em,nb,36,c,yes,1,3,1
test,bob,m,59,a,no,0,1,2
test,kirsty,f,21,b,no,0,2,3
test,jason,m,58,c,yes,1,1,1
